Session_ID,0-8,8-16,16-25,25-33,33-41,41-50
0,13.201063829787234,13.935064935064934,10.45,12.046511627906977,7.666666666666667,7.909090909090909
1,12.717801476620181,11.641221374045802,9.032786885245901,9.34375,9.107142857142858,6.590909090909091
2,8.032840722495894,7.571428571428571,6.904761904761905,5.523076923076923,5.818181818181818,5.105263157894737
3,8.301397205588822,8.151785714285714,7.292307692307692,5.666666666666667,5.177777777777778,6.0
4,11.429501084598698,11.093023255813954,9.541666666666666,7.809523809523809,8.148148148148149,8.0
5,7.13456090651558,8.686274509803921,6.4375,7.612903225806452,5.4,6.222222222222222
6,25.93917808219178,29.944615384615386,29.899193548387096,25.552380952380954,21.295454545454547,22.894736842105264
7,15.553721107442215,16.131964809384165,15.481707317073171,17.396039603960396,15.278688524590164,8.744186046511627
8,14.639372822299652,14.55050505050505,13.865384615384615,13.428571428571429,8.65625,11.19047619047619
9,10.912518853695325,12.569811320754717,11.610878661087867,12.671052631578947,10.023255813953488,8.518518518518519
10,12.621925802417675,14.08,13.716346153846153,12.608695652173912,11.365079365079366,12.28
11,12.25724353954581,11.672727272727272,11.21951219512195,12.022727272727273,9.8,9.55
12,12.468200620475699,12.53125,12.811538461538461,10.668874172185431,11.703703703703704,10.451612903225806
13,11.067046016823355,11.378947368421052,9.818505338078293,10.805970149253731,9.482758620689655,9.346153846153847
14,13.852163461538462,14.25,13.44,12.976190476190476,12.642857142857142,11.0
15,25.842304060434373,23.772151898734176,21.373333333333335,24.130434782608695,25.674418604651162,24.181818181818183
16,13.706122448979592,12.28,15.227272727272727,13.1,14.3,10.947368421052632
17,9.081632653061224,9.545454545454545,5.333333333333333,7.0,4.5,5.666666666666667
18,8.76388888888889,4.625,8.666666666666666,9.272727272727273,5.285714285714286,12.290392310115278
19,10.93287037037037,13.240506329113924,11.047619047619047,9.28125,6.125,7.444444444444445
20,7.321739130434783,9.842105263157896,10.0,6.5,5.125,5.285714285714286
21,6.380952380952381,10.5,11.6,6.8,3.3333333333333335,12.290392310115278
22,28.805483028720626,20.0,17.666666666666668,17.210526315789473,15.210526315789474,24.0
23,24.07729468599034,16.74418604651163,16.555555555555557,16.869565217391305,17.36,15.0
24,28.59036144578313,19.571428571428573,17.41176470588235,12.0,18.94736842105263,12.290392310115278
25,26.51458576429405,21.775862068965516,17.56,22.344827586206897,17.15,17.428571428571427
26,23.209558823529413,15.171052631578947,15.482142857142858,15.265060240963855,14.558823529411764,9.833333333333334
27,3.9970238095238093,4.536585365853658,2.5,2.3333333333333335,3.3333333333333335,2.1666666666666665
28,5.833333333333333,4.571428571428571,4.0,2.5,6.333333333333333,7.0
29,18.55185537583254,13.373134328358208,15.730337078651685,14.161290322580646,10.4,9.692307692307692
30,21.464749536178108,17.322580645161292,15.579545454545455,15.902439024390244,15.0,12.416666666666666
31,15.967166979362101,13.131313131313131,11.863636363636363,14.0,12.375,11.545454545454545
32,20.41110065851364,17.397727272727273,16.619718309859156,14.851851851851851,13.0,13.0
33,19.410326086956523,18.529411764705884,15.115384615384615,15.875,12.181818181818182,10.6
34,22.38738738738739,16.1,18.037735849056602,14.8,14.4,12.0
35,15.686486486486487,13.6,13.678571428571429,16.0,8.833333333333334,7.0
36,10.161290322580646,10.58252427184466,7.957746478873239,9.829787234042554,7.911764705882353,9.869565217391305
37,10.950191570881225,11.56338028169014,11.082644628099173,9.590909090909092,9.775862068965518,10.26923076923077
38,13.980357142857143,13.517073170731708,14.236486486486486,13.397590361445783,10.701492537313433,10.0
39,13.145444858817262,14.345,12.7,13.326530612244898,12.826923076923077,10.35483870967742
40,13.521447721179625,13.867816091954023,13.657718120805368,13.882978723404255,15.018181818181818,14.653846153846153
41,15.56230816451811,16.71875,15.083333333333334,13.16,13.389830508474576,11.833333333333334
42,13.133128834355828,12.463302752293577,12.604026845637584,11.816666666666666,11.708333333333334,9.2
43,14.85082578582845,16.488636363636363,14.04225352112676,14.121739130434783,14.508771929824562,13.256410256410257
44,11.809549647314162,11.258741258741258,10.916666666666666,10.368421052631579,9.283018867924529,9.490196078431373
45,20.31859018659295,18.81904761904762,17.64835164835165,15.714285714285714,15.73913043478261,15.210526315789474
46,19.211930926216642,16.453488372093023,14.296296296296296,13.627450980392156,15.933333333333334,14.096774193548388
47,21.90159901599016,20.16788321167883,19.354166666666668,19.24468085106383,17.782608695652176,15.266666666666667
48,30.597874224977858,25.959183673469386,27.90566037735849,25.4,26.48,27.125
49,28.908309455587393,26.543307086614174,25.46590909090909,24.26923076923077,24.73913043478261,23.41176470588235
50,22.833152762730226,20.105263157894736,17.46808510638298,18.70967741935484,19.70967741935484,21.555555555555557
51,30.971815107102593,29.275,24.833333333333332,24.794871794871796,32.97142857142857,28.647058823529413
52,28.726744186046513,25.313432835820894,24.10958904109589,22.06578947368421,24.85,21.266666666666666
